Main Numbers,Powerball
9,11,12,14,17,18,3
9,11,12,14,38,39,3
9,11,12,17,28,40,3
9,11,14,18,28,39,3
9,11,14,17,38,40,3
9,11,17,18,38,39,3
9,11,18,28,39,40,3
9,11,28,38,39,40,3
9,12,14,17,28,38,3
9,12,14,17,39,40,3
9,12,14,18,28,39,3
9,12,17,18,28,40,3
9,12,17,38,39,40,3
9,12,18,28,38,40,3
9,14,17,18,28,40,3
9,12,14,28,38,40,3
9,12,17,18,39,40,3
9,14,17,28,39,40,3
9,14,18,38,39,40,3
9,17,18,28,38,39,3
11,12,14,17,28,39,3
11,12,14,18,38,40,3
11,12,17,28,38,39,3
11,14,17,18,38,40,3
11,14,18,28,39,40,3
11,17,18,28,38,40,3
11,17,28,38,39,40,3
12,14,17,18,28,38,3
12,14,17,18,39,40,3
12,14,28,38,39,40,3
